id,tender_title,project_type,source_name,province,city,town,event_time,purchasing_staff,bid_company,bid_amount,currency,bid_date,content,created_at,updated_at
6518,合肥市青年路小学关于彩妆的网上超市采购项目成交公告,学校,政府采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市青年路小学,安徽顺茂源商贸有限公司,1294.60,人民币:元,2023-10-19,合肥市青年路小学关于彩妆的网上超市采购项目成交公告 项目:合肥市青年路小学关于彩妆的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6519,安徽赛颍光伏能源科技有限公司年产 15GW N 型高效光伏电池片生产项目（一期）配套设备采购（二次）中标结果公告,货物,企业采购,安徽省,阜阳市,颍上县,2023-10-19 00:00:00,安徽赛颍光伏能源科技有限公司,安徽甚御建材有限公司,139528961.00,人民币:元,2023-10-19,安徽赛颍光伏能源科技有限公司年产 15GW N 型高效光伏电池片生产项目（一期）配套设备采购（二次）中标结果公告 项目:安徽赛颍光伏能源科技有限公司年产15GWN型高效光伏电池片生产项目（一期）配套设备采购（二次）,2026-07-29 09:19:42,2026-07-29 09:19:42
6520,芜湖市北塘小学关于声画外围设备的网上超市采购项目成交公告,学校,政府采购,安徽省,芜湖市,镜湖区,2023-10-19 00:00:00,芜湖市北塘小学,镜湖区盛鸿电子产品经营部,28200.00,人民币:元,2023-10-19,芜湖市北塘小学关于声画外围设备的网上超市采购项目成交公告 项目:芜湖市北塘小学关于声画外围设备的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6522,芜湖经济技术开发区社会事业局关于笔记本电脑的网上超市采购项目成交公告,政府,政府采购,安徽省,芜湖市,经济技术开发区,2023-10-19 00:00:00,芜湖经济技术开发区社会事业局,芜湖新华书店有限公司,18110.00,人民币:元,2023-10-19,芜湖经济技术开发区社会事业局关于笔记本电脑的网上超市采购项目成交公告 项目:芜湖经济技术开发区社会事业局关于笔记本电脑的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6523,来安县永阳水务投资建设有限公司农村自来水分公司安保服务项目中标结果公告,服务,招标采购,安徽省,滁州市,来安县,2023-10-19 00:00:00,来安县永阳水务投资建设有限公司,安徽铭慧保安服务有限公司,1798869.60,人民币:元,2023-10-19,来安县永阳水务投资建设有限公司农村自来水分公司安保服务项目中标结果公告 项目:来安县永阳水务投资建设有限公司农村自来水分公司安保服务项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6524,合肥市第四中学关于击剑设备的网上超市采购项目成交公告,学校,企业采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市第四中学,南京蓝紫体育用品有限公司,1984.00,人民币:元,2023-10-19,合肥市第四中学关于击剑设备的网上超市采购项目成交公告 项目:合肥市第四中学关于击剑设备的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6526,霍邱县城区2023年度老旧小区（广场家园小区）改造工程中标结果公示,工程,招标采购,安徽省,六安市,霍邱县,2023-10-19 00:00:00,霍邱县城关镇人民政府,安徽鸿炜建筑工程安装有限公司,4217725.80,人民币:元,2023-10-19,霍邱县城区2023年度老旧小区（广场家园小区）改造工程中标结果公示 项目:霍邱县城区2023年度老旧小区（广场家园小区）改造工程 金额:4655326.49,2026-07-29 09:19:42,2026-07-29 09:19:42
6527,安徽省阜阳市人民检察院关于家用冰箱的网上超市采购项目成交公告,政府,政府采购,安徽省,阜阳市,"",2023-10-19 00:00:00,安徽省阜阳市人民检察院,合肥洪喜商贸有限公司,1200.00,人民币:元,2023-10-19,安徽省阜阳市人民检察院关于家用冰箱的网上超市采购项目成交公告 项目:安徽省阜阳市人民检察院关于家用冰箱的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6528,合肥市新城小学关于冰上运动设备的网上超市采购项目成交公告,学校,政府采购,安徽省,合肥市,"",2023-10-19 00:00:00,合肥市新城小学,合肥市安瑞捷教育装备有限公司,2640.00,人民币:元,2023-10-19,合肥市新城小学关于冰上运动设备的网上超市采购项目成交公告 项目:合肥市新城小学关于冰上运动设备的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6529,怀远县荆山镇人民政府关于硒鼓的网上超市采购项目成交公告,政府,政府采购,安徽省,蚌埠市,怀远县,2023-10-19 00:00:00,怀远县荆山镇人民政府,怀远县榴城帷铭办公设备经营部,3698.00,人民币:元,2023-10-19,怀远县荆山镇人民政府关于硒鼓的网上超市采购项目成交公告 项目:怀远县荆山镇人民政府关于硒鼓的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
